0.62014,-0.18875,-1.2387,-0.083627,-1.3296,-1.3817,-0.44118
0.29007,-0.44041,-0.76847,-1.05,-0.4893,-0.77494,-1.1148
-0.9002,1.5729,-0.89497,1.7376,-0.72498,-0.50189,-0.91814
-0.74017,1.5729,-0.28998,1.4774,-0.25361,0.094051,-0.4471
1.1903,-1.1954,1.1812,-1.1615,1.1707,0.8872,0.02584
0.48011,0.062916,-1.9949,0.25088,-1.8009,-2.0318,2.2022
-0.40009,-0.18875,0.17751,0.77123,0.5559,0.44728,-0.71617
1.3803,-0.84308,0.57625,-1.1615,0.10503,-0.018637,-0.21903
-1.5003,1.5729,0.75499,1.1057,0.44318,0.95221,-0.27937
1.0602,-0.84308,0.57625,-1.273,0.10503,0.24358,0.24301
0.64014,-0.59141,0.59275,-0.97565,0.46368,0.46679,-0.51046
-0.78018,1.0696,-0.38073,1.2172,-0.42781,-0.35453,-0.46879
0.12003,0.062916,-0.84272,-0.1208,-0.45855,-0.75977,3.1323
-0.85019,0.16358,0.22426,0.8084,0.04355,0.24575,0.20516
-2.5306,1.5729,0.89249,0.8084,1.181,1.6067,0.11866
-0.18004,0.21392,-1.1892,0.32522,-1.1656,-1.1282,-0.48056
-0.050011,-0.13842,-0.58422,0.10221,-0.69424,-0.63625,-0.50017
1.0802,-0.69208,-0.028737,-0.90132,-0.36633,-0.3762,0.32502
0.81018,-1.6484,2.0062,-1.0872,2.3901,1.8299,0.032377
0.26006,-1.0947,1.2307,-0.78981,1.2527,1.1906,-0.18876
